"species.orig"	"genus.orig"	"family.orig"	"P50"	"slope"	"TLP"	"LS"	"Ks"	"WD"	"LMA"	"leafN"	"group"
"1"	"Abies alba"	"Abies"	"Pinaceae"	1.305626458	3.925334019	0.470003629	0.530819409	0.086177696	0.505	5.043618647	2.553343811	"NC"
"2"	"Abies amabilis"	"Abies"	"Pinaceae"	1.305626458	4.083957469	0.6638026825	-0.45413028	-0.980829253	0.41	4.9964019895	2.282382386	"NC"
"3"	"Abies balsamea"	"Abies"	"Pinaceae"	1.002468428	4.083957469	0.494696242	-1.54327571	-1.007857925	0.45	4.774448718	2.708050201	"NC"
"4"	"Abies cephalonica"	"Abies"	"Pinaceae"	1.305626458	4.083957469	0.6638026825	-0.8158110865	-0.980829253	0.41	4.9964019895	2.533696814	"NC"
"5"	"Abies concolor"	"Abies"	"Pinaceae"	1.506297154	3.452840615	0.835080676	-0.8158110865	-0.127833372	0.38	4.949185332	2.570319528	"NC"
"6"	"Abies fraseri"	"Abies"	"Pinaceae"	1.305626458	4.083957469	0.6638026825	-0.8158110865	-0.980829253	0.41	4.9964019895	2.862200881	"NC"
"7"	"Abies grandis"	"Abies"	"Pinaceae"	1.294727168	4.513054897	0.832909123	-0.733969175	-0.980829253	0.42	4.446057214	2.509599262	"NC"
"8"	"Abies indet"	"Abies"	"Pinaceae"	1.305626458	4.083957469	0.6638026825	-0.8158110865	-0.980829253	0.41	4.9964019895	2.553343811	"NC"
"9"	"Abies lasiocarpa"	"Abies"	"Pinaceae"	1.193922468	4.242764567	0.6638026825	-0.897652998	-1.139434283	0.335	5.322790443	2.610069793	"NC"
"10"	"Abies magnifica"	"Abies"	"Pinaceae"	1.305626458	4.083957469	0.6638026825	-0.8158110865	-0.980829253	0.39	4.9964019895	2.553343811	"NC"
"11"	"Abies nordmanniana"	"Abies"	"Pinaceae"	1.387543581	3.63758616	0.6638026825	-0.8158110865	-0.980829253	0.41	4.9964019895	2.553343811	"NC"
"12"	"Abies pinsapo"	"Abies"	"Pinaceae"	1.423108334	4.214199524	0.6638026825	-0.8158110865	-0.980829253	0.445	5.705447754	2.553343811	"NC"
"13"	"Abies procera"	"Abies"	"Pinaceae"	1.305626458	4.083957469	0.6638026825	-1.30933332	-0.980829253	0.385	4.9964019895	2.513656063	"NC"
"14"	"Abies shastensis"	"Abies"	"Pinaceae"	1.305626458	4.083957469	0.6638026825	-0.8158110865	-0.980829253	0.41	4.9964019895	2.553343811	"NC"
"15"	"Acacia dealbata"	"Acacia"	"Fabaceae"	0.479334957	3.7193365675	0.631271777	-0.133531393	0.991398204	0.585	4.126408315	3.658420247	"BE"
"16"	"Acacia indet"	"Acacia"	"Fabaceae"	0.479334957	3.7193365675	0.631271777	-0.5775913205	0.991398204	0.5675	4.072475582	3.678625016	"BD"
