"species"	"species.orig"	"genus.orig"	"family.orig"	"P50"	"slope"	"TLP"	"Ks"	"LS"	"WD"	"LMA"	"leafN"	"group"
"1"	"Abies_alba"	"Abies alba"	"Abies"	"Pinaceae"	1.305626458	3.925334019	0.470003629	0.086177696	0.530819409	0.505	5.043618647	2.553343811	"CC"
"2"	"Abies_amabilis"	"Abies amabilis"	"Abies"	"Pinaceae"	1.305626458	4.083957469	0.6638026825	-0.980829253	-0.45413028	0.41	4.9964019895	2.282382386	"CC"
"3"	"Abies_balsamea"	"Abies balsamea"	"Abies"	"Pinaceae"	1.002468428	4.083957469	0.494696242	-1.007857925	-1.54327571	0.45	4.774448718	2.708050201	"CC"
"4"	"Abies_cephalonica"	"Abies cephalonica"	"Abies"	"Pinaceae"	1.305626458	4.083957469	0.6638026825	-0.980829253	-0.8158110865	0.41	4.9964019895	2.533696814	"CC"
"5"	"Abies_concolor"	"Abies concolor"	"Abies"	"Pinaceae"	1.506297154	3.452840615	0.835080676	-0.127833372	-0.8158110865	0.38	4.949185332	2.570319528	"CC"
"6"	"Abies_fraseri"	"Abies fraseri"	"Abies"	"Pinaceae"	1.305626458	4.083957469	0.6638026825	-0.980829253	-0.8158110865	0.41	4.9964019895	2.862200881	"CC"
"7"	"Abies_grandis"	"Abies grandis"	"Abies"	"Pinaceae"	1.294727168	4.513054897	0.832909123	-0.980829253	-0.733969175	0.42	4.446057214	2.509599262	"CC"
"8"	"Abies_indet"	"Abies indet"	"Abies"	"Pinaceae"	1.305626458	4.083957469	0.6638026825	-0.980829253	-0.8158110865	0.41	4.9964019895	2.553343811	"CC"
"9"	"Abies_lasiocarpa"	"Abies lasiocarpa"	"Abies"	"Pinaceae"	1.193922468	4.242764567	0.6638026825	-1.139434283	-0.897652998	0.335	5.322790443	2.610069793	"CC"
"10"	"Abies_magnifica"	"Abies magnifica"	"Abies"	"Pinaceae"	1.305626458	4.083957469	0.6638026825	-0.980829253	-0.8158110865	0.39	4.9964019895	2.553343811	"CC"
"11"	"Abies_nordmanniana"	"Abies nordmanniana"	"Abies"	"Pinaceae"	1.387543581	3.63758616	0.6638026825	-0.980829253	-0.8158110865	0.41	4.9964019895	2.553343811	"CC"
"12"	"Abies_pinsapo"	"Abies pinsapo"	"Abies"	"Pinaceae"	1.423108334	4.214199524	0.6638026825	-0.980829253	-0.8158110865	0.445	5.705447754	2.553343811	"CC"
"13"	"Abies_procera"	"Abies procera"	"Abies"	"Pinaceae"	1.305626458	4.083957469	0.6638026825	-0.980829253	-1.30933332	0.385	4.9964019895	2.513656063	"CC"
